id,submit_time,men,women,1_14,15_24,25_49,50_64,65+,education,farm,income,message1946,message1964,message1981,message2012,trans1946,trans1964,trans1981,trans2012,insurance,experience,1904,1946,1964,1981,2012,levee,report,maner,location_code
558,2018-03-22 13:00:00,2,2,0,2,2,0,0,college or higher,True,"20,000~50,000",null,null,null,mobile phone,null,null,null,motor,True,null,do not know,do not know,do not know,do not know,do not know,10,10,10,D 
559,2018-03-22 13:01:00,1,1,0,0,0,0,2,junior high school,True,"5,000~10,000",null,null,fixed telephone,mobile phone,null,null,bycycle,bycycle,True,null,do not know,do not know,do not know,heard of somewhere,do not know,10,10,10,D 
560,2018-03-22 13:03:00,2,1,0,1,0,2,0,junior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,flooding,do not know,do not know,do not know,do not know,experienced,3,3,3,D 
561,2018-03-22 13:04:00,1,2,0,0,0,2,1,junior high school,True,"20,000~50,000",null,null,fixed telephone,mobile phone,null,null,bycycle,motor,True,null,do not know,do not know,do not know,heard of somewhere,know from written records,5,5,5,D 
562,2018-03-22 13:05:00,1,1,0,0,0,0,2,junior high school,True,"5,000~10,000",null,null,fixed telephone,mobile phone,null,null,bycycle,bycycle,False,null,do not know,do not know,do not know,do not know,do not know,10,10,10,D 
563,2018-03-23 00:07:00,3,2,1,2,0,2,0,vocational college,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,True,flooding,do not know,do not know,do not know,heard of somewhere,know from written records,8,8,8,B 
564,2018-03-23 21:02:00,2,1,0,0,2,0,1,college or higher,True,"10,000~20,000",null,null,null,mobile phone,null,null,bycycle,bycycle,False,null,do not know,do not know,do not know,heard of somewhere; heard from intimates,heard of somewhere,6,8,8,B 
565,2018-03-23 21:03:00,2,3,0,2,2,0,1,senior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,do not know,heard of somewhere,heard of somewhere,8,8,8,B 
566,2018-03-23 21:04:00,2,3,0,2,2,0,1,senior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,do not know,know from written records,do not know,7,7,8,B 
567,2018-03-23 21:05:00,2,2,0,1,1,2,0,junior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,null,motor,False,null,do not know,do not know,do not know,heard of somewhere,heard from intimates,10,8,8,B 
568,2018-03-23 21:06:00,3,2,0,1,2,1,1,vocational college,True,"＞50,000",null,null,null,mobile phone,null,null,null,motor; car,True,null,do not know,do not know,do not know,heard from intimates,know from written records; heard of somewhere,9,9,9,B 
569,2018-03-23 21:11:00,1,1,0,0,0,0,2,junior high school,True,"10,000~20,000",null,null,null,mobile phone,null,null,bycycle,motor,False,flooding,do not know,do not know,do not know,heard of somewhere,experienced,8,8,8,B 
570,2018-03-23 21:17:00,3,3,2,0,2,0,2,college or higher,True,"＞50,000",null,null,null,mobile phone,null,null,bycycle,car,True,null,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,heard from intimates,5,5,5,B 
571,2018-03-23 21:18:00,2,2,0,2,2,0,0,college or higher,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,do not know,do not know,do not know,8,8,9,B 
572,2018-03-23 21:19:00,3,4,1,1,1,2,2,college or higher,True,"＞50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor; car,True,null,do not know,do not know,do not know,do not know,know from written records,10,10,10,B 
573,2018-03-23 21:20:00,2,2,1,0,1,0,2,vocational college,True,"20,000~50,000",null,null,null,mobile phone,null,null,null,motor,True,null,do not know,do not know,do not know,do not know,do not know,7,7,7,B 
574,2018-03-23 21:31:00,1,1,0,0,0,0,2,elementary school,True,"5,000~10,000",null,null,null,mobile phone,null,null,null,motor,False,null,do not know,do not know,do not know,do not know,do not know,9,9,8,B 
575,2018-03-23 21:33:00,1,1,0,0,0,0,2,elementary school,True,"5,000~10,000",null,null,null,mobile phone,null,null,null,null,False,null,do not know,do not know,do not know,heard of somewhere,do not know,9,9,9,B 
